floor_rate,date,block_number,charged_static_floor_gas,charged_regular_gas_8279,incremental_data_gas_8279
96,2026-04-10,24851796,11998105.448520664,13504560.919094373,1506455.4705737086
96,2026-04-10,24851893,20189515.329536375,21250987.77059671,1061472.441060335
96,2026-04-10,24852457,55355657.98667147,56498345.26805323,1142687.2813817596
96,2026-04-10,24852528,37251988.34161583,38125969.445588194,873981.1039723572
96,2026-04-10,24852619,22800456.272817448,23340124.854230255,539668.581412805
96,2026-04-11,24852919,33698017.82043963,35726887.47270064,2028869.65226101
96,2026-04-11,24852970,33669620.71062666,34109282.55677127,439661.8461446097
96,2026-04-11,24853056,47786650.62243096,49051322.80182246,1264672.1793915054
96,2026-04-11,24853169,58731146.792524524,61327233.96293273,2596087.1704082047
96,2026-04-11,24853179,39959271.34420544,41271129.97988373,1311858.6356782874
96,2026-04-11,24853291,28889629.270640247,30957150.21091827,2067520.9402780226
96,2026-04-11,24853367,33617471.099637955,34172237.46260998,554766.3629720246
96,2026-04-11,24853458,75522705.99835688,77491146.4811224,1968440.4827655274
96,2026-04-11,24853492,20406696.593131933,21918072.32864835,1511375.7355164185
96,2026-04-11,24853675,13867011.810365316,14770157.888163581,903146.0777982642
96,2026-04-11,24853680,56563924.93878819,58214602.42428768,1650677.48549949
96,2026-04-11,24853724,13112480.728245553,13225907.68393936,113426.95569380771
96,2026-04-11,24853772,40881466.27282802,41527512.083670184,646045.8108421642
96,2026-04-11,24853931,7528728.059416238,7567365.896229934,38637.83681369596
96,2026-04-11,24853959,29690419.16452938,30361941.484507848,671522.3199784695
96,2026-04-11,24854141,29354703.982281588,30857408.18233863,1502704.2000570414
96,2026-04-11,24854414,44913239.74253806,45806923.312086396,893683.5695483445
96,2026-04-11,24854834,79335920.10429633,82035635.79581945,2699715.691523123
96,2026-04-11,24855134,42723910.00787309,45017064.82191616,2293154.8140430744
96,2026-04-11,24855217,32608712.98190205,35323309.87410475,2714596.8922027047
96,2026-04-11,24855415,40386161.64066581,43893677.97122537,3507516.3305595717
96,2026-04-11,24855510,27709818.07767339,29340286.31695736,1630468.239283966
96,2026-04-11,24855917,28104362.457035515,29675605.540623896,1571243.0835883801
96,2026-04-11,24855923,68438160.60544616,70398685.91378686,1960525.308340698
96,2026-04-11,24855974,43495720.16820242,44555521.82531267,1059801.6571102475
96,2026-04-11,24855987,29594101.592958182,30274548.321886502,680446.7289283191
96,2026-04-11,24856192,34028618.79545177,35347066.89528566,1318448.0998338908
96,2026-04-11,24856199,40248843.94949946,42307547.97875087,2058704.0292514097
96,2026-04-11,24856210,11009709.957685594,11119514.458804563,109804.50111896775
96,2026-04-11,24856230,68407422.29617774,68698419.79781851,290997.5016407643
96,2026-04-11,24856449,30889075.283017684,31527931.667762853,638856.3847451669
96,2026-04-11,24856480,41549166.914046675,42412699.407917984,863532.4938713129
96,2026-04-11,24856542,61267188.25750627,63121303.38551258,1854115.1280063076
96,2026-04-11,24856583,76167291.9975271,78278389.28439489,2111097.286867803
96,2026-04-11,24856756,100613260.47591013,104361063.31555663,3747802.8396465043
96,2026-04-11,24856812,55172491.61028736,56915261.382951014,1742769.7726636555
96,2026-04-11,24856833,30472256.13004324,31184201.886912026,711945.7568687854
96,2026-04-11,24857086,15064581.893852675,15489508.403660545,424926.5098078694
96,2026-04-11,24857390,37605982.123147994,38156915.48938824,550933.3662402498
96,2026-04-11,24857603,35462317.331574015,37047105.235199995,1584787.9036259756
96,2026-04-11,24857697,43488821.61364731,45045849.16367048,1557027.550023167
96,2026-04-11,24858099,39192961.03246965,41889037.74389152,2696076.711421863
96,2026-04-11,24858280,45130880.06549815,46265295.375915326,1134415.3104171702
96,2026-04-11,24858318,10509654.669835536,10792035.727519969,282381.05768443306
96,2026-04-11,24858336,55920698.43225905,56473590.24641296,552891.8141539139
96,2026-04-11,24858634,41343486.263588905,42312968.85995608,969482.5963671731
96,2026-04-11,24859244,36929904.919768855,37713778.63586055,783873.716091695
96,2026-04-11,24859519,38746638.89402056,39836581.19843807,1089942.3044175133
96,2026-04-11,24859619,45858571.83059309,47814232.58830142,1955660.7577083297
96,2026-04-11,24859755,28255949.232096072,29864339.17816198,1608389.9460659053
96,2026-04-12,24860201,58791123.24449889,59451713.38576101,660590.1412621147
96,2026-04-12,24860493,14082866.879767124,14224025.805097291,141158.92533016816
96,2026-04-12,24860821,62648823.45131275,63467259.551195286,818436.0998825383
96,2026-04-12,24861444,48728927.62659924,49528628.21524978,799700.5886505377
96,2026-04-12,24861514,32950113.200541873,33374254.85578462,424141.6552427461
96,2026-04-12,24861593,31451960.673160743,33066748.758794043,1614788.0856333016
96,2026-04-12,24861602,43862209.84750114,46171370.77848948,2309160.9309883416
96,2026-04-12,24861629,29203322.8483789,30380312.313743755,1176989.4653648527
96,2026-04-12,24861720,22444291.235929277,23458886.067625336,1014594.8316960572
96,2026-04-12,24861755,28828209.32574913,29498340.896858662,670131.5711095341
96,2026-04-12,24861858,39876591.72982859,40537271.674863905,660679.9450353157
96,2026-04-12,24861875,54736007.43662698,56210274.98374733,1474267.5471203518
96,2026-04-12,24861989,37845985.46446972,40091698.41969427,2245712.955224542
96,2026-04-12,24861997,40174187.1218283,41044298.497166514,870111.3753382157
96,2026-04-12,24862014,27699899.862519965,28135141.11265452,435241.25013455376
96,2026-04-12,24862313,37665223.28983593,38265553.24626596,600329.9564300302
96,2026-04-12,24862319,28790049.655247536,29166066.501630463,376016.8463829245
96,2026-04-12,24862345,16273154.520077184,16557794.440966435,284639.92088924954
96,2026-04-12,24862346,35644233.45607314,36183225.5859105,538992.1298373553
96,2026-04-12,24862489,44172571.10973255,45524058.53797484,1351487.428242285
96,2026-04-12,24862709,44306667.908731446,44732200.72118712,425532.8124556778
96,2026-04-12,24862940,23296370.848765615,23954852.53565302,658481.6868874091
96,2026-04-12,24862942,41587214.53997424,42524243.16794657,937028.6279723267
96,2026-04-12,24863092,20383420.571724974,20726663.325753573,343242.75402859953
96,2026-04-12,24863315,24910573.286450647,25395828.111170374,485254.8247197278
96,2026-04-12,24863401,45821442.31444833,46542189.4858542,720747.1714058742
