propagation_time_s,benchmark,shared_limit,shared_target,floor_rate,cpsb,replication,included_execution,included_data,included_state,included_execution_metered,included_data_metered,included_state_metered,included_regular_metered,shared_gas_used,shared_target_utilisation,shared_fee_wei,shared_fee_log_return_sd,shared_limit_hit_fraction,shared_near_limit_fraction,shared_fee_floor_bounded_fraction,shared_target_deviation,shared_rationed_gas,regular_binding_fraction,runtime_bal_bytes,estimated_static_payload_bytes,estimated_counted_payload_bytes,included_state_bytes,annualized_state_growth_gib,base_fee_burn_eth_per_block,base_fee_exposure_proxy_eth_per_block,equilibrium_log_rmse
4.5,state_matched_64,100000000.0,50000000.0,64,1020.0,17,30266208.38205708,1586095.388011352,7554789.348624654,43824134.076527566,3428348.044927789,28488180.183114056,47252482.12145532,50601051.4406088,1.012021028812176,19152715.66158221,0.05462161453442693,0.033373015873015874,0.04047619047619048,0.0,0.34879497692361144,720411.9991343984,0.8459325396825397,152578.13695758872,179154.48675422795,331732.6237118167,27929.588414817703,68.35810686847282,0.0009576407060431458,0.0013895416329309045,1.0771776094710461
4.5,state_matched_64,100000000.0,50000000.0,64,1020.0,18,31130711.714786798,1606140.9622576481,7508870.381838898,45075896.751419894,3471676.5898540695,28315025.414760932,48547573.34127404,50528593.81249648,1.0105718762499296,13621269.495160948,0.05040202657467515,0.02726190476190476,0.03218253968253968,0.0,0.3148058573505802,434295.21675984946,0.8809523809523809,157417.6529594,181418.69771715856,338836.35067655856,27759.828838000914,67.94261763455943,0.0006812004730645372,0.0010249090403085651,0.9005323315591659
4.5,state_matched_64,100000000.0,50000000.0,64,1020.0,19,31119256.970413644,1540758.0161328136,7215390.321709425,45059310.78707034,3330351.2337544784,27208348.25312165,48389662.02082444,50602991.675194986,1.0120598335038997,20093956.883872706,0.05397835506878991,0.04001984126984127,0.04744047619047619,0.0,0.34113528300482093,683223.8636644216,0.8886309523809524,155646.565138613,174033.48731681774,329680.05245543073,26674.85122855064,65.28711787297492,0.001004738122568932,0.0014286476196033778,1.127924000183034
4.5,state_matched_64,100000000.0,50000000.0,64,1020.0,20,31407745.939905085,1606541.0244673053,6603614.016019463,45477030.083752096,3472541.3250425314,24901415.150952682,48949571.408794455,50572909.14205438,1.0114581828410876,33285845.957263194,0.05303230963137238,0.031071428571428573,0.03777777777777778,0.0,0.33443696433593245,491236.6894446578,0.9119642857142857,156704.34149918408,181463.88600809153,338168.22750727565,24413.15210877714,59.75157370964654,0.0016643114711178257,0.002444154664850681,1.4477146736560202
4.5,state_matched_64,100000000.0,50000000.0,64,1020.0,21,31074428.118957598,1845150.9515762634,6837932.17674805,44994400.58847822,3988297.1133057857,25785000.076351967,48982697.70178338,50547764.85581223,1.0109552971162445,19241480.53145701,0.05233898715637171,0.030396825396825398,0.03674603174603175,0.0,0.3280535841257709,430545.08903623535,0.9114087301587301,155668.62493922416,208415.6313752265,364084.25631445064,25279.41183956075,61.87175802361747,0.0009620154165565655,0.0013949587143305023,1.2058507743065918
4.5,state_matched_64,100000000.0,50000000.0,64,1020.0,22,31075579.82322859,1729856.0887837126,7217289.14216783,44996068.20543709,3739087.0592113747,27215508.471211083,48735155.26464774,50532415.581471674,1.0106483116294336,16574408.759103518,0.05157496547872546,0.02875,0.0353968253968254,0.0,0.32386826610728214,365647.34980150056,0.8901785714285714,157101.41649608142,195392.71224619698,352494.12874227844,26681.871050206944,65.30429899687306,0.0008286897905194166,0.0012312708766916043,0.9775009146814388
4.5,state_matched_64,100000000.0,50000000.0,64,1020.0,23,30528752.595905244,1752574.9051586085,7741746.186410976,44204286.511991985,3788193.8218251397,29193171.392735876,47992480.333817825,50502242.646989904,1.010044852939798,17992771.007515356,0.04988535461760514,0.02875,0.032817460317460315,0.0,0.30839926146071905,564540.6176988576,0.8545833333333334,156028.14723775705,197958.87435603782,353987.02159379487,28620.756267388115,70.04975105700639,0.0008996508312063037,0.0013196253704044739,1.2393301023985313
4.5,state_matched_64,100000000.0,50000000.0,64,1020.0,24,30672784.71172545,1826334.3604893791,7693549.625084883,44412838.659500055,3947625.0176975336,29011428.095880322,48360463.67719738,50565512.49526358,1.0113102499052715,20300179.945659034,0.05320342293008592,0.034206349206349206,0.04061507936507937,0.0,0.3364107044624565,586695.2395548449,0.8722619047619048,155609.19731381797,206290.23794421632,361899.43525803427,28442.57656458855,69.6136534323345,0.0010149961664131983,0.0015347995115521048,1.1045995678983695
4.5,state_matched_64,100000000.0,50000000.0,64,1020.0,25,31119082.917450305,1761496.73035119,7162742.934791526,45059058.76605937,3807478.3630875596,27009821.44112544,48866537.12914691,50534629.42669265,1.010692588533853,12329029.017629463,0.05173671935134833,0.029861111111111113,0.03619047619047619,0.0,0.3233101593305001,469692.71470918594,0.9037698412698413,156846.26777101163,198966.6227079777,355812.89047898934,26480.21709914259,64.81074778041497,0.0006164307189209012,0.000917331976205563,0.7898050752522171
4.5,state_matched_64,100000000.0,50000000.0,64,1020.0,26,31291575.99418985,1956608.8990167691,6701744.510042955,45308821.12898631,4229213.667938925,25271453.158129197,49538034.79692503,50543500.52063165,1.010870010412633,16775963.111086467,0.05173043121199067,0.02990079365079365,0.03626984126984127,0.0,0.32385493947797284,382540.396391509,0.9326190476190476,155891.2172110647,221005.15878909768,376896.3760001624,24775.934468754116,60.639489240838046,0.0008388262963522085,0.0012141077544627482,1.0533467157836958
4.5,state_matched_64,100000000.0,50000000.0,64,1020.0,27,30768731.26650228,1800454.6897211117,7446395.924857372,44551765.0366551,3891686.06260539,28079441.93185994,48443451.09926051,50541880.48745692,1.0108376097491383,16785778.213337217,0.05179928883608885,0.03176587301587302,0.0371031746031746,0.0,0.3250346033897368,571493.8121220731,0.8926190476190476,155834.33430052904,203367.04734111484,359201.3816416439,27528.864639078372,67.37732912553284,0.0008392970616124603,0.0012771868979684117,0.8938438053457084
4.5,state_matched_64,100000000.0,50000000.0,64,1020.0,28,30312225.580213103,1611708.4461761445,8344491.038542805,43890764.94869911,3483710.7163961637,31466047.99585359,47374475.665095195,50605770.5111164,1.012115410222328,13503054.319501448,0.054656323757985965,0.03656746031746032,0.044821428571428575,0.0,0.34753768409396396,653156.4332964701,0.8296230158730159,154640.25446295345,182047.56262116742,336687.8170841209,30849.06666260156,75.50357579189995,0.0006751562657414402,0.0009942232339106623,0.9458982339990197
4.5,state_matched_64,100000000.0,50000000.0,64,1020.0,29,30475311.42674947,1645178.4200254546,7944981.358251245,44126906.05743612,3556056.125302424,29959546.195228502,47682962.18273797,50571947.71284069,1.0114389542568138,11025590.766640998,0.05358539470617026,0.03498015873015873,0.04140873015873016,0.0,0.33967285920516316,740516.9167300662,0.8553174603174604,155697.6758096169,185828.10194558266,341525.7777551996,29372.10411296912,71.88868672482934,0.0005512660333823941,0.0008372011637168068,0.8513904888937494
4.5,state_matched_64,100000000.0,50000000.0,64,1020.0,30,30114769.65888166,1716975.4127549378,8402547.8729955,43604857.48842519,3711245.4547188035,31684973.168274768,47316102.94314431,50556136.88507797,1.0111227377015595,10018941.15136479,0.05321001592336891,0.0348015873015873,0.04134920634920635,0.0,0.3353520509545218,733782.5531268776,0.8238888888888889,155901.7459021925,193937.79918080062,349839.5450829931,31063.699184583107,76.02889226478004,0.0005009089113775757,0.0007652238051715152,0.95703574422326
4.5,state_matched_64,100000000.0,50000000.0,64,1020.0,31,31542453.210487932,1705488.2617617287,5532727.275545575,45672080.2668662,3686415.9571065763,20863233.143418547,49358496.22397303,50535697.341572694,1.0107139468314539,39712331.05638941,0.05189444486400977,0.03212301587301587,0.038908730158730157,0.0,0.32391008908067537,403382.9876884215,0.9457738095238095,153207.67516592142,192640.28917225252,345847.964338174,20454.15014060642,50.06185413292951,0.0019855783594323914,0.0026439646422324234,1.5523984670024025
