propagation_time_s,safe_payload_bytes,execution_capacity_gas,transfer_capacity_gas,maximum_candidate_limit,physical_binding_constraint,benchmark,benchmark_label,optimize_floor,match_state_growth,shared_limit,shared_target,minimum_sufficient_floor_rate,floor_rate,cpsb,m_data,m_state,floor_payload_feasible
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,fully_optimized,"Floor- and state-growth-adjusted: derived F, matched CPSB",True,True,175000000.0,87500000.0,40,40,1785.0,1.5887467517058966,6.5990344693761225,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,fully_optimized,"Floor- and state-growth-adjusted: derived F, matched CPSB",True,True,200000000.0,100000000.0,40,40,2040.0,1.5887467517058966,7.541753679286997,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,fully_optimized,"Floor- and state-growth-adjusted: derived F, matched CPSB",True,True,225000000.0,112500000.0,50,50,2295.0,1.7634340839660732,8.484472889197871,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,fully_optimized,"Floor- and state-growth-adjusted: derived F, matched CPSB",True,True,250000000.0,125000000.0,50,50,2550.0,1.7634340839660732,9.427192099108746,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,fully_optimized,"Floor- and state-growth-adjusted: derived F, matched CPSB",True,True,275000000.0,137500000.0,50,50,2805.0,1.7634340839660732,10.36991130901962,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,fully_optimized,"Floor- and state-growth-adjusted: derived F, matched CPSB",True,True,300000000.0,150000000.0,64,64,3060.0,2.161501805529043,11.312630518930495,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,fully_optimized,"Floor- and state-growth-adjusted: derived F, matched CPSB",True,True,325000000.0,162500000.0,64,64,3315.0,2.161501805529043,12.25534972884137,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,fully_optimized,"Floor- and state-growth-adjusted: derived F, matched CPSB",True,True,350000000.0,175000000.0,64,64,3570.0,2.161501805529043,13.198068938752245,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,fully_optimized,"Floor- and state-growth-adjusted: derived F, matched CPSB",True,True,359634304.0,179817152.0,64,64,3668.2699008,2.161501805529043,13.561366676949092,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,fully_optimized,"Floor- and state-growth-adjusted: derived F, matched CPSB",True,True,375000000.0,187500000.0,67,67,3825.0,2.2871073920400034,14.14078814866312,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,fully_optimized,"Floor- and state-growth-adjusted: derived F, matched CPSB",True,True,400000000.0,200000000.0,72,72,4080.0,2.5297123127871743,15.083507358573994,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,fully_optimized,"Floor- and state-growth-adjusted: derived F, matched CPSB",True,True,425000000.0,212500000.0,76,76,4335.0,2.741198959017473,16.02622656848487,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,fully_optimized,"Floor- and state-growth-adjusted: derived F, matched CPSB",True,True,450000000.0,225000000.0,81,81,4590.0,3.0271211899142436,16.968945778395742,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,fully_optimized,"Floor- and state-growth-adjusted: derived F, matched CPSB",True,True,475000000.0,237500000.0,85,85,4845.0,3.274452060763763,17.911664988306615,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,fully_optimized,"Floor- and state-growth-adjusted: derived F, matched CPSB",True,True,500000000.0,250000000.0,89,89,5100.0,3.536166747247089,18.854384198217492,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,fully_optimized,"Floor- and state-growth-adjusted: derived F, matched CPSB",True,True,525000000.0,262500000.0,94,94,5355.0,3.885833754446056,19.797103408128365,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,fully_optimized,"Floor- and state-growth-adjusted: derived F, matched CPSB",True,True,533959303.1674208,266979651.5837104,96,96,5446.384892307692,4.032547620151323,20.134947696262085,True
3.5,6775042.0,550000000.0,643782271.4932127,550000000.0,execution,proposal_faithful,"Proposal-faithful: F=64, CPSB=1530",False,False,50000000.0,25000000.0,40,64,1530.0,2.161501805529043,5.656315259465248,True
3.5,6775042.0,550000000.0,643782271.4932127,550000000.0,execution,proposal_faithful,"Proposal-faithful: F=64, CPSB=1530",False,False,75000000.0,37500000.0,40,64,1530.0,2.161501805529043,5.656315259465248,True
3.5,6775042.0,550000000.0,643782271.4932127,550000000.0,execution,proposal_faithful,"Proposal-faithful: F=64, CPSB=1530",False,False,100000000.0,50000000.0,40,64,1530.0,2.161501805529043,5.656315259465248,True
3.5,6775042.0,550000000.0,643782271.4932127,550000000.0,execution,proposal_faithful,"Proposal-faithful: F=64, CPSB=1530",False,False,125000000.0,62500000.0,40,64,1530.0,2.161501805529043,5.656315259465248,True
3.5,6775042.0,550000000.0,643782271.4932127,550000000.0,execution,proposal_faithful,"Proposal-faithful: F=64, CPSB=1530",False,False,150000000.0,75000000.0,40,64,1530.0,2.161501805529043,5.656315259465248,True
3.5,6775042.0,550000000.0,643782271.4932127,550000000.0,execution,proposal_faithful,"Proposal-faithful: F=64, CPSB=1530",False,False,175000000.0,87500000.0,40,64,1530.0,2.161501805529043,5.656315259465248,True
3.5,6775042.0,550000000.0,643782271.4932127,550000000.0,execution,proposal_faithful,"Proposal-faithful: F=64, CPSB=1530",False,False,200000000.0,100000000.0,40,64,1530.0,2.161501805529043,5.656315259465248,True
3.5,6775042.0,550000000.0,643782271.4932127,550000000.0,execution,proposal_faithful,"Proposal-faithful: F=64, CPSB=1530",False,False,225000000.0,112500000.0,40,64,1530.0,2.161501805529043,5.656315259465248,True
3.5,6775042.0,550000000.0,643782271.4932127,550000000.0,execution,proposal_faithful,"Proposal-faithful: F=64, CPSB=1530",False,False,250000000.0,125000000.0,40,64,1530.0,2.161501805529043,5.656315259465248,True
3.5,6775042.0,550000000.0,643782271.4932127,550000000.0,execution,proposal_faithful,"Proposal-faithful: F=64, CPSB=1530",False,False,275000000.0,137500000.0,50,64,1530.0,2.161501805529043,5.656315259465248,True
3.5,6775042.0,550000000.0,643782271.4932127,550000000.0,execution,proposal_faithful,"Proposal-faithful: F=64, CPSB=1530",False,False,300000000.0,150000000.0,50,64,1530.0,2.161501805529043,5.656315259465248,True
3.5,6775042.0,550000000.0,643782271.4932127,550000000.0,execution,proposal_faithful,"Proposal-faithful: F=64, CPSB=1530",False,False,325000000.0,162500000.0,50,64,1530.0,2.161501805529043,5.656315259465248,True
