floor_rate,floor_class,transactions,transaction_share,runtime_bal_bytes,runtime_bal_byte_share,incremental_bal_floor_gas,incremental_bal_floor_gas_share
85,newly floor-bound through other non-code BAL,46439,0.024444821102588343,42983395.0,0.059726894486355105,1086305597.7584538,0.24486366654532765
85,unaffected,1806514,0.9509229645195046,636383884.0,0.8842771282371913,0.0,0.0
86,already floor-bound under static EIP-8131,37944,0.019973175389577987,30686290.0,0.042639647357024586,2796101144.0,0.6065802449684045
86,within 10% of static floor,9147,0.004814849127357944,4415859.0,0.006135986805128389,308453671.2990339,0.0669152844844198
86,newly floor-bound primarily because of deployed code,628,0.00033057015983172503,5685117.0,0.007899664119169359,328458511.94328785,0.0712550921357218
86,newly floor-bound through other non-code BAL,48479,0.025518647736436622,44786149.0,0.06223188270198708,1176601257.4622004,0.25524937841145356
86,unaffected,1803550,0.9493627575867957,634092246.0,0.8810928190166906,0.0,0.0
87,already floor-bound under static EIP-8131,38631,0.02033480230009454,31103326.0,0.04321913311353617,2865308721.0,0.5984697346876248
87,within 10% of static floor,9627,0.005067514217675186,4645149.0,0.006454593086385985,326836723.85840386,0.06826555406757212
87,newly floor-bound primarily because of deployed code,616,0.00032425353257379397,5687213.0,0.007902576582711231,334242924.6504699,0.06981246836360795
87,newly floor-bound through other non-code BAL,49984,0.02631085807170214,46175182.0,0.06416199146675695,1261336982.2093177,0.26345224288119545
87,unaffected,1800890,0.9479625718779543,632054791.0,0.8782617057506097,0.0,0.0
88,already floor-bound under static EIP-8131,39228,0.020649054506176608,31440950.0,0.043688273185511904,2928470336.0,0.5891460650377164
88,within 10% of static floor,10333,0.005439142454683463,5111747.0,0.007102946933576146,363859592.3840258,0.07320082585233885
88,newly floor-bound primarily because of deployed code,600,0.0003158313628965526,5683860.0,0.007897917474764716,339999627.14852846,0.06840070735442351
88,newly floor-bound through other non-code BAL,51727,0.02722834818091663,47593770.0,0.066133167912815,1338373823.1151884,0.2692524017555211
88,unaffected,1797860,0.9463676234953268,629835334.0,0.8751776944933323,0.0,0.0
89,already floor-bound under static EIP-8131,39809,0.020954884542581438,31944586.0,0.04438809259790429,3007039529.0,0.5828958926863945
89,within 10% of static floor,10814,0.005692333930605533,5242020.0,0.0072839657136287905,376059964.6045958,0.0728968830166016
89,newly floor-bound primarily because of deployed code,588,0.00030951473563862157,5678859.0,0.00789096841456772,345681274.3254571,0.06700816302535136
89,newly floor-bound through other non-code BAL,53813,0.028326388552586974,49360214.0,0.06858770214409327,1430012709.1374288,0.2771990612716521
89,unaffected,1794724,0.9447168782385874,627439982.0,0.8718492711298059,0.0,0.0
90,already floor-bound under static EIP-8131,40368,0.021249134095680057,32298787.0,0.04488026697719568,3073154400.0,0.5741708657018264
90,within 10% of static floor,11213,0.00590236178693174,5470408.0,0.007601318635098806,400405531.8417759,0.07480951521648008
90,newly floor-bound primarily because of deployed code,619,0.00032583268938827674,5706440.0,0.007929293155478207,351464466.76258683,0.06566564216379928
90,newly floor-bound through other non-code BAL,56289,0.029629719310140083,51326872.0,0.07132044056219045,1527309869.0767233,0.2853539769178943
