data_limit_hit_ci95_halfwidth,rationed_data_ci95_halfwidth,execution_fill_ci95_halfwidth,n_replications,design,calibration,frontier_position,data_limit_family,execution_target,data_target,data_limit,execution_fill,data_fill,included_execution,fee_sd_execution,fee_sd_data,data_limit_hit_fraction,longest_data_limit_run,execution_floor_bounded_fraction,rationed_data,rationed_execution,mean_data_fee_wei,pareto_nondominated
0.0013353957849277739,66403.51337749208,0.00926491145858719,32,E200_D35_matched2x,adverse75,near,matched2x,200000000.0,35000000.0,70000000.0,0.652959824035887,0.9999018904054267,130591964.80717741,0.0023510188366100333,0.05964049303418256,0.05761346726190476,8.90625,0.8893985615079365,1403634.9558842834,2147640.8677120428,833.8197972470238,True
0.0013453398387799566,89904.86173799577,0.010172016928671038,32,E200_D45_fixed90M,adverse75,above,fixed90M,200000000.0,45000000.0,90000000.0,0.7007294693678849,0.9989200387002828,140145893.873577,0.006095355646549467,0.08357989996147962,0.060566096230158725,9.0625,0.853681175595238,1953379.3456471283,2481250.498615087,208.51453435019843,True
0.0013453398387799566,89904.86173799577,0.010172016928671038,32,E200_D45_matched2x,adverse75,above,matched2x,200000000.0,45000000.0,90000000.0,0.7007294693678849,0.9989200387002828,140145893.873577,0.006095355646549467,0.08357989996147962,0.060566096230158725,9.0625,0.853681175595238,1953379.3456471283,2481250.498615087,208.51453435019843,True
0.0013454519680024485,89893.73578576397,0.008146780266312013,32,E250_D45_fixed90M,adverse75,below,fixed90M,250000000.0,45000000.0,90000000.0,0.5606338225782802,0.9989200371619757,140158455.64457005,0.0010333042117914898,0.08357924623159824,0.06057415674603175,9.0625,0.945016121031746,1953145.3321262877,2474454.0371949617,208.52042410714287,True
0.0013454519680024485,89893.73578576397,0.008146780266312013,32,E250_D45_matched2x,adverse75,below,matched2x,250000000.0,45000000.0,90000000.0,0.5606338225782802,0.9989200371619757,140158455.64457005,0.0010333042117914898,0.08357924623159824,0.06057415674603175,9.0625,0.945016121031746,1953145.3321262877,2474454.0371949617,208.52042410714287,True
0.002054465917335759,140983.205186405,0.008538063657173092,32,E250_D52_fixed90M,adverse75,near,fixed90M,250000000.0,51500000.0,90000000.0,0.5684775647850437,0.9946564592008238,142119391.19626093,0.0007038835027147899,0.11149452223344003,0.10821490575396825,10.9375,0.946186755952381,3756520.664802509,4990418.49831799,86.89688306051588,True
0.0013533019005543276,105443.68744080691,0.00858786849192438,32,E250_D52_matched2x,adverse75,near,matched2x,250000000.0,51500000.0,103000000.0,0.5754536497826271,0.9955372222798362,143863412.44565678,0.0010333042117914898,0.10249528335179947,0.06131820436507937,9.0,0.9371217757936507,2296350.4471962433,2604914.5868755435,99.94362475198415,True
0.004727287343295431,313926.01997064386,0.00872490546068501,32,E250_D60_fixed90M,adverse75,above,fixed90M,250000000.0,60000000.0,90000000.0,0.5621582915396426,0.9760011003960569,140539572.88491064,0.00040935157627839275,0.14000289596259163,0.18836495535714287,15.03125,0.959461185515873,7763103.865341164,10274308.295826206,19.478099578373016,False
0.0014742223045893397,129674.44474718481,0.009090235855772327,32,E250_D60_matched2x,adverse75,above,matched2x,250000000.0,60000000.0,120000000.0,0.5875056936574535,0.9832473509547907,146876423.41436338,0.0015804535184951829,0.12561274165628902,0.06059089781746032,9.0,0.9302374751984127,2671923.550016257,2657852.186734114,43.806061507936505,True
0.004726950990823503,313925.53689596907,0.007271204378294466,32,E300_D60_fixed90M,adverse75,below,fixed90M,300000000.0,60000000.0,90000000.0,0.4684666124583742,0.9760011392249038,140539983.73751226,0.0,0.14000312952757554,0.18836433531746033,15.03125,0.9895560515873016,7763116.044888097,10274104.166168615,19.47814174107143,True
0.0014750407229951865,129666.70154818098,0.007575310216533252,32,E300_D60_matched2x,adverse75,below,matched2x,300000000.0,60000000.0,120000000.0,0.4895920447193684,0.9832473901129584,146877613.41581053,0.00013645052542613092,0.12561324057284073,0.06059337797619047,9.0,0.9756808035714285,2671943.829048628,2657831.979863008,43.806130952380954,True
0.017518590059914185,1619910.519456004,0.006496410497212012,32,E300_D77_fixed90M,adverse75,near,fixed90M,300000000.0,77000000.0,90000000.0,0.4438215626802956,0.8582671214553378,133146468.80408868,0.0,0.06645364144879376,0.3170727926587302,29.9375,0.9943551587301587,17939843.842547577,20406148.19587656,1.3361848958333333,True
0.0023054816431344553,196280.50717108566,0.008114738561764655,32,E300_D77_matched2x,adverse75,near,matched2x,300000000.0,77000000.0,154000000.0,0.49970429522184906,0.9202797758818466,149911288.56655473,0.00013645052542613092,0.1213424147811658,0.051051587301587306,8.4375,0.9713740079365079,2920679.843100815,2318297.1058319313,11.807838541666667,True
0.022008750356908295,2228487.273187586,0.006539675856395042,32,E300_D85_fixed90M,adverse75,above,fixed90M,300000000.0,85000000.0,90000000.0,0.4386922978155145,0.783495559861604,131607689.34465435,0.0,0.014539239317357466,0.33578683035714285,40.53125,0.994569072420635,20003857.53933829,22115763.71453952,1.011081349206349,True
0.0026537061677617477,220534.75801378718,0.00826604547157694,32,E300_D85_matched2x,adverse75,above,matched2x,300000000.0,85000000.0,170000000.0,0.5024523947427821,0.8766524728638492,150735718.42283463,0.00013645052542613092,0.10765352071764428,0.0442875744047619,8.21875,0.9698170882936508,2796713.410193639,2021006.0663349426,7.244410342261904,True
