design,stress,start,data_limit,peak_data_fee_multiple,recovery_blocks_median,recovery_fraction,data_limit_hit_fraction,data_offered_limit_pressure_fraction,data_cap_active_fraction,data_scale_determining_fraction,longest_data_limit_run,rationed_data,execution_fill,execution_floor_bounded_fraction
E300_D85,static_data,warm,90000000.0,7.430555555555556,4625.0,0.9166666666666666,0.7012268518518519,0.7013252314814814,0.7012268518518519,0.7012268518518519,45.375,59937405.457641214,0.6957876537854734,0.8967187499999999
E200_D45,static_data,cold,90000000.0,54.18836371451533,,0.0,0.056776620370370366,0.05716435185185185,0.056776620370370366,0.056776620370370366,5.916666666666667,1811407.7129738342,0.9737693647581397,0.060127314814814814
E225_D45,static_data,cold,90000000.0,49.01379010063217,,0.0,0.055052083333333335,0.05535879629629629,0.055052083333333335,0.055052083333333335,5.875,1711062.8951714158,0.9454979685171296,0.25109375
E250_D60,static_data,cold,90000000.0,59.13774354218496,,0.0,0.19041087962962963,0.19102430555555552,0.19041087962962963,0.19041087962962963,9.25,7541462.273703679,0.9466663846915172,0.2725231481481481
E300_D77,static_data,cold,90000000.0,25.006613756613756,5872.5,0.3333333333333333,0.5176157407407408,0.5178356481481482,0.5176157407407408,0.5176157407407408,22.875,32570245.269266278,0.7823533362330813,0.7366550925925927
E300_D80,static_data,cold,90000000.0,19.1715573286052,5721.0,0.5,0.5954224537037037,0.5955902777777777,0.5954224537037037,0.5954224537037037,28.875,41888019.27960534,0.7472536192279788,0.792181712962963
E300_D85,static_data,cold,90000000.0,6.816666666666666,4625.0,0.9166666666666666,0.6925405092592593,0.6926331018518518,0.6925405092592593,0.6925405092592593,45.375,59195541.75233474,0.6836041086318935,0.8699189814814815
E200_D45,state,warm,90000000.0,64.20890432352242,,0.0,0.05773726851851852,0.05811921296296296,0.05773726851851852,0.05773726851851852,5.791666666666667,1837823.7320071962,0.9922340501521748,0.051006944444444445
E225_D45,state,warm,90000000.0,57.27660877003129,,0.0,0.05576967592592593,0.05609375,0.05576967592592593,0.05576967592592593,5.708333333333333,1732152.1587551746,0.9678991137065979,0.24721064814814817
E250_D60,state,warm,90000000.0,62.95951416636677,,0.0,0.19289351851851852,0.19355324074074076,0.19289351851851852,0.19289351851851852,8.541666666666666,7616454.070537555,0.9685656803817476,0.2692939814814815
